codigo_comuna,nombre_comuna,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k
5101,Valparaíso,24180,22541,1639,6.78,5.6,5.7,4.9,1.92,2.84,Embarazo y parto | Enfermedades circulatorias | Enfermedades digestivas,848.61
13128,Renca,25748,24002,1746,6.78,6.392185065324224,6.495590034120904,4.999132697311362,1.4646962870902591,3.0681994718036303,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1792.7615546364764
13129,San Joaquín,12206,11098,1108,9.0775,23.5948,23.4759,24.7852,1.5568,3.2525,H26 | K80 | K35,1276.7515
13131,San Ramón,11743,10986,757,6.446393596184961,4.966448096738483,5.019843437101766,4.191545574636724,1.4538022651792557,2.214084986800647,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59)",1545.0909186600354
13201,Puente Alto,39492,38156,1336,3.382963638205206,4.784390194489466,4.790312434472636,4.615269461077844,1.51016687346484,2.248556669705257,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",699.6210651629739
13202,Pirque,1731,1702,29,1.675332177931831,4.176776429809359,4.1574618096357225,5.310344827586207,1.4962449451184288,2.541883304448296,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59)",595.6641431520991
13203,San José de Maipo,2844,2781,63,2.2152,18.8481,18.7666,22.4444,1.4132,1.4065,H26 | K80 | K35,1630.6404
13301,Colina,14742,12697,2045,13.87,5.88,6.06,4.72,1.41,2.04,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",850.7
13302,Lampa,8057,6984,1073,13.32,5.99,6.23,4.47,1.42,2.02,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",555.04
13402,Buin,15457,14669,788,5.1,5.576291079812207,5.603302373581012,5.086142322097379,1.488645920941968,2.95658924759008,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1321.4612418675033
13501,Melipilla,29404,26882,2522,8.58,4.98,5.09,3.89,1.23,2.23,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",2156.9
13502,Alhué,900,793,107,11.89,5.64,5.8,4.46,1.28,2.333,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1158.6
13503,CURACAVÍ,5216,5064,152,2.91,6.49,6.54,4.82,1.4,2.93,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1483.29
13504,María Pinto,1683,1630,53,3.15,4.78,4.83,3.11,1.2,1.664,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1096.3
13601,Talagante,12342,11754,588,4.76,6.46,6.53,5.09,1.63,2.6,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1614.83
13602,El Monte,4114,4015,99,2.41,5.95,5.98,4.66,1.62,2.552,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1097.2
13603,Isla de Maipo,2059,1989,70,3.3997085964060223,5.699854298203011,5.733534439416792,4.742857142857143,1.6192326372025254,1.6027197668771247,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",524.2654173244385
13605,Peñaflor,10357,9981,376,3.63,6.14,6.17,5.43,1.39,1.89,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1097.12
